id,stadium,city,state,group,Country,county,fips,team1,lat,long,capacity,opened,cost,price_of_beer,turf,league,sport,text
104,Little Caesars Arena,Detroit,MI,14,US,,,Detroit Pistons,42.6969,-83.2456,21000,09/05/17,"$862,900,000.00",,Hardwood,nba,yes,Little Caesars Arena<br>Capacity: 21000<br>Opened: 42983<br>Multi-sport: yes
105,Madison Square Garden,New York,NY,21,US,,,New York Knicks,40.7505,-73.9936,19812,02/11/68,"$123,000,000.00",,Hardwood,nba,yes,Madison Square Garden<br>Capacity: 19812<br>Opened: 24879<br>Multi-sport: yes
106,Moda Center,Portland,OR,25,US,,,Portland Trail Blazers,45.5314,-122.667,19980,10/12/95,"$262,000,000.00",,Hardwood,nba,no,Moda Center<br>Capacity: 19980<br>Opened: 34984<br>Multi-sport: no
107,Oracle Arena,Oakland,CA,4,US,,,Golden State Warriors,37.7503,-122.203,19596,11/09/66,"$24,000,000.00",,Hardwood,nba,no,Oracle Arena<br>Capacity: 19596<br>Opened: 24420<br>Multi-sport: no
108,Pepsi Center,Denver,CO,5,US,,,Denver Nuggets,39.7486,-105.008,19155,10/01/99,"$187,000,000.00",,Hardwood,nba,yes,Pepsi Center<br>Capacity: 19155<br>Opened: 36434<br>Multi-sport: yes
109,Philips Arena,Atlanta,GA,8,US,,,Atlanta Hawks,33.7572,-84.3963,15700,09/18/99,"$213,500,000.00",,Hardwood,nba,no,Philips Arena<br>Capacity: 15700<br>Opened: 36421<br>Multi-sport: no
110,Quicken Loans Arena,Cleveland,OH,22,US,,,Cleveland Cavaliers,41.4967,-81.6881,20562,10/17/94,"$100,000,000.00",,Hardwood,nba,no,Quicken Loans Arena<br>Capacity: 20562<br>Opened: 34624<br>Multi-sport: no
111,Smoothie King Center,New Orleans,LA,11,US,,,New Orleans Pelicans,29.9489,-90.0822,16867,10/29/99,"$114,000,000.00",,Hardwood,nba,no,Smoothie King Center<br>Capacity: 16867<br>Opened: 36462<br>Multi-sport: no
112,Spectrum Center,Charlotte,NC,18,US,,,Charlotte Hornets,35.2245,-80.841,19077,10/21/05,"$260,000,000.00",,Hardwood,nba,no,Spectrum Center<br>Capacity: 19077<br>Opened: 38646<br>Multi-sport: no
113,Talking Stick Resort Arena,Phoenix,AZ,2,US,,,Phoenix Suns,33.4457,-112.071,18422,06/06/92,"$90,000,000.00",,Hardwood,nba,no,Talking Stick Resort Arena<br>Capacity: 18422<br>Opened: 33761<br>Multi-sport: no
114,Target Center,Minneapolis,MN,15,US,,,Minnesota Timberwolves,44.9794,-93.2761,19356,10/13/90,"$104,000,000.00",,Hardwood,nba,no,Target Center<br>Capacity: 19356<br>Opened: 33159<br>Multi-sport: no
115,TD Garden,Boston,MA,12,US,,,Boston Celtics,42.3663,-71.0623,18624,09/30/95,"$160,000,000.00",,Hardwood,nba,yes,TD Garden<br>Capacity: 18624<br>Opened: 34972<br>Multi-sport: yes
116,Toyota Center,Houston,TX,29,US,,,Houston Rockets,29.7508,-95.3622,18055,10/06/03,"$235,000,000.00",,Hardwood,nba,no,Toyota Center<br>Capacity: 18055<br>Opened: 37900<br>Multi-sport: no
117,United Center,Chicago,IL,9,US,,,Chicago Bulls,41.8806,-87.6741,20917,08/18/94,"$175,000,000.00",,Hardwood,nba,yes,United Center<br>Capacity: 20917<br>Opened: 34564<br>Multi-sport: yes
118,Vivint Smart Home Arena,Salt Lake City,UT,30,US,,,Utah Jazz,40.7683,-111.901,19911,10/04/91,"$93,000,000.00",,Hardwood,nba,no,Vivint Smart Home Arena<br>Capacity: 19911<br>Opened: 33515<br>Multi-sport: no
119,Wells Fargo Center,Philadelphia,PA,26,US,,,Philadelphia 76ers,39.9011,-75.1717,20328,08/13/96,"$210,000,000.00",,Hardwood,nba,yes,Wells Fargo Center<br>Capacity: 20328<br>Opened: 35290<br>Multi-sport: yes
120,Oakland Coliseum,Oakland,CA,4,US,,,Oakland Athletics,37.7516,-122.201,53250,09/18/1966,"$25,500,000.00",,Grass,mlb,yes,Oakland Coliseum<br>Capacity: 53250<br>Opened: 24368<br>Multi-sport: yes
121,Staples Center,Los Angeles,CA,4,US,,,Los Angeles Lakers,34.043,-118.267,18230,10/17/1999,"$375,000,000.00",,Hardwood,nba,yes,Staples Center<br>Capacity: 18230<br>Opened: 36450<br>Multi-sport: yes
122,Staples Center,Los Angeles,CA,4,US,,,Los Angeles Kings,34.0431,-118.267,18230,10/17/1999,"$375,000,000.00",,Ice,nhl,yes,Staples Center<br>Capacity: 18230<br>Opened: 36450<br>Multi-sport: yes
123,Progressive Field,Cleveland,OH,22,US,,,Cleveland Indians,41.4962,-81.6852,35225,04/02/1994,"$175,000,000.00",,Grass,mlb,no,Progressive Field<br>Capacity: 35225<br>Opened: 34426<br>Multi-sport: no
